Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
AzureFunctionsUpgrade.0002,Enable the use of the V2 model for Azure Functions projects and enable Application Insights.,Active,Mandatory,3,UnTaskAlert.csproj,File,UnTaskAlert.csproj,,,,,,,,
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,UnTaskAlert.csproj,File,UnTaskAlert.csproj,,,System.Formats.Asn1 9.0.7,,,,,"System.Formats.Asn1, 9.0.7  Recommendation:  Remove System.Formats.Asn1, and replace with new package System.Formats.Asn1 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,UnTaskAlert.csproj,File,UnTaskAlert.csproj,,,Microsoft.Azure.Functions.Worker 2.0.0,,,,,"Microsoft.Azure.Functions.Worker, 2.0.0  Recommendation:  Remove Microsoft.Azure.Functions.Worker, and replace with new package Microsoft.Azure.Functions.Worker 2.51.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,UnTaskAlert.csproj,File,UnTaskAlert.csproj,,,Microsoft.Azure.Functions.Worker.Extensions.CosmosDB 4.12.0,,,,,"Microsoft.Azure.Functions.Worker.Extensions.CosmosDB, 4.12.0  Recommendation:  Remove Microsoft.Azure.Functions.Worker.Extensions.CosmosDB, and replace with new package Microsoft.Azure.Functions.Worker.Extensions.CosmosDB 4.14.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,UnTaskAlert.csproj,File,UnTaskAlert.csproj,,,Microsoft.Azure.Functions.Worker.Extensions.Http.AspNetCore 2.0.2,,,,,"Microsoft.Azure.Functions.Worker.Extensions.Http.AspNetCore, 2.0.2  Recommendation:  Remove Microsoft.Azure.Functions.Worker.Extensions.Http.AspNetCore, and replace with new package Microsoft.Azure.Functions.Worker.Extensions.Http.AspNetCore 2.1.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,UnTaskAlert.csproj,File,UnTaskAlert.csproj,,,Microsoft.Azure.Functions.Worker.Sdk 2.0.5,,,,,"Microsoft.Azure.Functions.Worker.Sdk, 2.0.5  Recommendation:  Remove Microsoft.Azure.Functions.Worker.Sdk, and replace with new package Microsoft.Azure.Functions.Worker.Sdk 2.0.7"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,UnTaskAlert.csproj,File,UnTaskAlert.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,UnTaskAlert.csproj,File,Functions\TelegramBotBackgroundService.cs,40,16,M:System.TimeSpan.FromSeconds(System.Int64),,,,,"await Task.Delay(TimeSpan.FromSeconds(5), stoppingToken);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,UnTaskAlert.csproj,File,MonitoringService.cs,104,8,M:System.TimeSpan.FromHours(System.Int32),,,,,var slot2End = slot2Start.Add(TimeSpan.FromHours(1));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,UnTaskAlert.csproj,File,MonitoringService.cs,103,8,M:System.TimeSpan.FromHours(System.Int32),,,,,var slot2Start = subscriber.StartWorkingHoursUtc.Add(TimeSpan.FromHours(4));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,UnTaskAlert.csproj,File,MonitoringService.cs,101,8,M:System.TimeSpan.FromHours(System.Int32),,,,,var slot1End = slot1Start.Add(TimeSpan.FromHours(1));
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,UnTaskAlert.csproj,File,MonitoringService.cs,19,8,T:System.Uri,,,,,var orgUrl = new Uri(url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,UnTaskAlert.csproj,File,MonitoringService.cs,19,8,M:System.Uri.#ctor(System.String),,,,,var orgUrl = new Uri(url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,UnTaskAlert.csproj,File,ReportingService.cs,160,8,T:System.Uri,,,,,var orgUrl = new Uri(url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,UnTaskAlert.csproj,File,ReportingService.cs,160,8,M:System.Uri.#ctor(System.String),,,,,var orgUrl = new Uri(url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,UnTaskAlert.csproj,File,ReportingService.cs,86,8,T:System.Uri,,,,,var orgUrl = new Uri(url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,UnTaskAlert.csproj,File,ReportingService.cs,86,8,M:System.Uri.#ctor(System.String),,,,,var orgUrl = new Uri(url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,UnTaskAlert.csproj,File,ReportingService.cs,55,8,T:System.Uri,,,,,var orgUrl = new Uri(url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,UnTaskAlert.csproj,File,ReportingService.cs,55,8,M:System.Uri.#ctor(System.String),,,,,var orgUrl = new Uri(url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,UnTaskAlert.csproj,File,ReportingService.cs,37,8,T:System.Uri,,,,,var orgUrl = new Uri(url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,UnTaskAlert.csproj,File,ReportingService.cs,37,8,M:System.Uri.#ctor(System.String),,,,,var orgUrl = new Uri(url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,UnTaskAlert.csproj,File,PrAccessor.cs,132,12,P:System.Uri.AbsolutePath,,,,,"var segments = uri.AbsolutePath.Split('/', StringSplitOptions.RemoveEmptyEntries);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,UnTaskAlert.csproj,File,PrAccessor.cs,127,8,T:System.Uri,,,,,var uri = new Uri(azureDevOpsAddress);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,UnTaskAlert.csproj,File,PrAccessor.cs,127,8,M:System.Uri.#ctor(System.String),,,,,var uri = new Uri(azureDevOpsAddress);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,UnTaskAlert.csproj,File,Program.cs,35,4,M:Microsoft.Extensions.DependencyInjection.HttpClientFactoryServiceCollectionExtensions.AddHttpClient(Microsoft.Extensions.DependencyInjection.IServiceCollection),,,,,services.AddHttpClient();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,UnTaskAlert.csproj,File,Program.cs,19,4,M:Microsoft.Extensions.Logging.ConsoleLoggerExtensions.AddConsole(Microsoft.Extensions.Logging.ILoggingBuilder),,,,,services.AddLogging(builder => builder.AddDebug().AddConsole());
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,UnTaskAlert.csproj,File,Program.cs,10,0,T:Microsoft.Extensions.Hosting.HostBuilder,,,,,var host = new HostBuilder()      .ConfigureFunctionsWebApplication()      .ConfigureServices(Configure)      .Build();
